STANDARD POST MATCH! Lat: -6.545511, Lng: -37.715337, Hash: 7nv4vb2t8 
STANDARD MATCH [CCT: ]! Lat: 3.090778, Lng: 101.608844, Hash: w28384tm1 
STANDARD MATCH [CCT: ]! Lat: 3.090778, Lng: 101.608844, Hash: w28384tm1 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 6.1289629, Lng: 102.2491378, Hash: w30dyexxc 
STANDARD MATCH [CCT: ]! Lat: 6.1289629, Lng: 102.2491378, Hash: w30dyexxc 
STANDARD MATCH [CCT: ]! Lat: 1.5028538, Lng: 103.8846625, Hash: w23becwdb 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 41.4849396, Lng: 2.0305609, Hash: sp3kn0ne7 
STANDARD MATCH [CCT: ]! Lat: 3.203599, Lng: 101.716409, Hash: w2864x5wk 
STANDARD MATCH [CCT: ]! Lat: 3.203599, Lng: 101.716409, Hash: w2864x5wk 
STANDARD MATCH [CCT: ]! Lat: 3.196837, Lng: 101.719335, Hash: w2864tvyb 
STANDARD MATCH [CCT: ]! Lat: 3.1968371, Lng: 101.7193353, Hash: w2864tvyb 
STANDARD MATCH [CCT: ]! Lat: 64.8378, Lng: 147.7164, Hash: z790c77g9 
STANDARD MATCH [CCT: ]! Lat: 64.8378, Lng: 147.7164, Hash: z790c77g9 
STANDARD MATCH [CCT: ]! Lat: 3.141944, Lng: 101.69162, Hash: w283f5cx4 
STANDARD MATCH [CCT: ]! Lat: 3.141735, Lng: 101.691379, Hash: w283f5cmu 
STANDARD MATCH [CCT: ]! Lat: 3.141978, Lng: 101.691757, Hash: w283f5cxm 
STANDARD MATCH [CCT: ]! Lat: 15.1629989, Lng: 33.0003068, Hash: sdxqqbq4f 
STANDARD MATCH [CCT: ]! Lat: 47.606, Lng: -122.335, Hash: c23nb4qm5 
STANDARD MATCH [CCT: ]! Lat: 47.606, Lng: -122.335, Hash: c23nb4qm5 
STANDARD MATCH [CCT: ]! Lat: 47.606, Lng: -122.335, Hash: c23nb4qm5 
STANDARD MATCH [CCT: ]! Lat: 45.698473, Lng: 9.20344, Hash: u0necrjsz 
STANDARD MATCH [CCT: ]! Lat: 45.698473, Lng: 9.20344, Hash: u0necrjsz 
STANDARD MATCH [CCT: ]! Lat: -19.750601, Lng: -47.935135, Hash: 6umzthw8q 
STANDARD MATCH [CCT: ]! Lat: 2.703871, Lng: 113.783366, Hash: w82zmhnx0 
STANDARD MATCH [CCT: ]! Lat: 2.703871, Lng: 113.783366, Hash: w82zmhnx0 
STANDARD MATCH [CCT: ]! Lat: 3.1659635, Lng: 101.7293154, Hash: w2864bm50 
STANDARD MATCH [CCT: ]! Lat: 25.2695386, Lng: 55.299594, Hash: thrrf25vt 
STANDARD MATCH [CCT: ]! Lat: -6.9751111, Lng: 110.3901435, Hash: qqy2rfpxh 
STANDARD MATCH [CCT: ]! Lat: -6.9751111, Lng: 110.3901435, Hash: qqy2rfpxh 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 64.8378, Lng: 147.7164, Hash: z790c77g9 
STANDARD MATCH [CCT: ]! Lat: 64.8378, Lng: 147.7164, Hash: z790c77g9 
STANDARD MATCH [CCT: ]! Lat: 64.8378, Lng: 147.7164, Hash: z790c77g9 
STANDARD MATCH [CCT: ]! Lat: 64.8378, Lng: 147.7164, Hash: z790c77g9 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
STANDARD MATCH [CCT: ]! Lat: 3.1980134, Lng: 101.7125322, Hash: w2864w0vc 
